County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Shelby County ,29205,0,0,3,0,0,0,4,0,0,0,4,4,2,0,7,2,0,4,8,0,5,1,11,7,4,1,16,4,2,2,5,1,2,0,16,3,6,13,7,6,5,4,10,2,1,0,16,2
St. Charles County ,29183,59,3,147,57,93,14,224,47,94,12,232,43,89,16,188,35,103,35,267,57,44,10,186,33,47,31,263,49,31,33,200,48,62,13,220,89,67,35,149,72,63,47,179,60,72,47,180,54
St. Clair County ,29185,1,2,3,4,2,2,4,3,1,2,2,1,0,0,2,2,6,6,9,2,2,3,1,7,2,1,6,0,0,0,3,2,5,0,0,1,4,4,8,3,1,1,0,1,2,0,1,5
St. Francois County ,29187,21,7,53,33,35,2,63,26,48,6,61,40,50,3,68,32,16,2,42,9,29,4,50,18,19,1,53,24,32,11,54,23,19,8,59,25,36,7,60,35,36,9,40,37,34,17,56,34
St. Louis city ,29510,90,5,128,67,98,4,104,51,92,17,81,43,73,15,103,45,90,20,120,69,84,19,132,75,97,11,167,85,87,27,115,70,76,9,92,65,97,27,88,65,84,28,102,52,83,26,93,81
St. Louis County ,29189,157,13,247,102,151,10,250,108,170,9,237,97,163,11,244,118,128,23,273,122,157,18,283,110,136,31,248,97,97,28,167,101,111,16,183,116,94,28,163,108,96,34,120,123,118,44,146,113
Ste. Genevieve County ,29186,6,0,10,4,5,0,16,6,4,1,7,5,2,0,7,5,5,0,13,5,5,1,15,1,7,2,17,3,4,0,12,5,7,6,12,9,7,6,16,8,10,3,13,9,9,6,9,4
Stoddard County ,29207,16,5,65,11,5,1,41,14,10,1,43,12,15,1,56,9,16,2,45,7,9,4,32,10,8,2,42,10,1,0,18,11,13,6,37,23,5,5,50,13,6,2,20,17,3,7,16,11
Stone County ,29209,3,0,3,8,13,0,18,0,13,1,17,7,13,1,28,12,11,1,31,10,8,3,19,4,8,0,32,9,5,0,6,11,5,5,27,6,6,7,22,9,1,0,3,6,0,0,1,3
Sullivan County ,29211,2,0,3,1,0,0,4,3,2,0,6,1,5,0,2,4,3,0,6,2,1,0,7,0,2,0,2,1,1,0,0,1,2,1,8,1,3,4,5,0,1,0,4,2,6,2,0,1
Taney County ,29213,20,1,35,15,18,2,42,9,15,0,24,17,14,1,31,15,18,3,39,15,11,1,34,13,26,3,63,10,22,3,63,23,18,6,41,23,25,12,39,28,13,15,39,24,26,9,43,28
Texas County ,29215,10,4,8,12,3,0,10,1,3,0,6,6,15,1,16,9,19,5,31,13,21,4,20,14,11,7,25,5,19,7,36,6,3,0,5,8,14,3,22,8,11,5,29,13,13,1,23,8
Vernon County ,29217,8,0,14,5,12,0,12,10,7,1,26,14,9,0,16,9,10,2,20,1,6,0,20,6,4,0,16,8,6,0,7,7,7,1,7,7,11,2,6,7,6,2,15,9,5,1,4,6
Warren County ,29219,10,0,27,7,15,8,56,8,26,5,40,7,25,3,44,13,18,2,31,11,8,7,33,8,6,1,22,6,7,0,31,16,4,1,13,12,4,2,13,19,8,8,9,15,9,1,10,8
Washington County ,29221,16,2,26,11,21,2,40,2,22,0,32,12,17,0,20,10,19,3,34,9,7,3,5,11,11,0,20,7,6,4,36,10,14,9,18,4,10,5,15,11,12,3,16,6,19,12,32,17
Wayne County ,29223,4,0,5,4,2,1,10,2,9,1,12,1,7,1,8,4,8,2,8,8,3,1,9,1,9,0,38,7,3,2,12,4,5,1,9,9,7,3,8,6,7,1,13,3,4,0,8,7
Webster County ,29225,17,1,19,21,16,4,23,12,12,3,32,13,15,1,36,11,24,2,42,9,21,3,23,21,26,10,38,14,10,5,33,8,13,10,36,16,16,2,28,9,9,6,23,21,22,9,37,17
Worth County ,29227,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,2,2,0,0,0,1,0,1,0
Wright County ,29229,11,1,30,15,13,0,41,6,12,3,22,4,15,5,33,10,21,12,89,7,9,5,42,8,6,10,27,4,7,4,10,3,11,2,29,4,5,1,27,5,7,3,10,15,2,7,13,10
