County,FIPS_Code,2010_Neglect,2011_Neglect,2012_Neglect,2013_Neglect,2014_Neglect,2015_Neglect,2016_Neglect,2017_Neglect,2018_Neglect,2019_Neglect,2020_Neglect,2021_Neglect
Tazewell County ,51185,405,368,405,336,348,530,558,588,912,587,542,427
Warren County ,51187,158,134,152,176,193,139,120,215,270,137,195,239
Washington County ,51191,335,550,697,703,580,622,750,850,1018,1134,638,609
Westmoreland County ,51193,65,69,130,165,100,90,69,101,161,182,152,164
Wise County ,51195,960,907,944,914,1037,978,1017,1178,1625,910,890,924
Wythe County ,51197,344,337,353,421,499,511,468,425,679,372,390,341
York County ,51199,273,306,373,304,287,214,161,245,419,229,220,204
Alexandria city ,51510,413,366,369,392,389,453,449,436,722,483,500,375
Bristol city ,51520,351,376,355,265,217,243,190,429,765,515,424,535
Buena Vista city ,51530,44,55,62,29,28,35,58,62,31,44,2,5
Charlottesville city ,51540,239,319,391,312,235,286,469,563,812,354,296,240
Chesapeake city ,51550,882,742,960,972,925,960,865,1148,1758,1128,1103,816
Colonial Heights,51570,68,61,48,44,61,60,63,25,,4,3,13
Covington city ,51580,68,50,42,26,65,67,34,75,86,23,29,23
Danville city ,51590,376,303,525,439,419,399,483,385,418,195,210,204
Emporia city ,51595,37,25,31,12,1,4,2,-,-,1,4,9
Fairfax city ,51600,-,,,-,,1654,1,-,4,-,-,0
Falls Church city ,51610,4,0,1,-,,-,-,2,2,-,-,
Franklin city ,51620,48,56,82,51,49,78,46,46,75,51,71,56
Fredericksburg city ,51630,161,166,156,201,237,214,253,281,408,251,208,210
Galax city ,51640,55,26,85,53,39,45,34,54,103,85,130,133
Hampton city ,51650,620,566,498,373,237,167,203,343,694,464,417,438
Harrisonburg city ,51660,305,316,255,278,299,311,377,414,678,375,357,225
Hopewell,51670,146,175,103,206,183,136,248,165,,215,153,155
Lexington city ,51678,11,8,29,21,9,6,11,20,8,5,-,3
Lynchburg city ,51680,696,786,713,883,932,807,795,939,1347,1120,716,953
Manassas city ,51683,160,216,114,134,121,96,75,62,115,114,74,58
Manassas Park city ,51685,19,33,45,52,78,44,43,37,55,41,58,48
Martinsville city ,51690,18,-,23,100,93,93,2,12,17,0,111,105
Newport News city ,51700,852,687,782,775,903,884,1256,1456,1911,1583,1289,1158
Norfolk city ,51710,947,1040,849,842,781,843,975,"1,101","1,295",1019,964,784
Norton city ,51720,40,96,94,79,o,139,141,106,185,132,107,84
Petersburg city ,51730,189,181,247,354,294,349,262,111,302,227,100,92
Poquoson city ,51735,2,2,4,7,11,8,6,9,2,1,-,-
Portsmouth city ,51740,997,1051,804,1225,1133,1133,759,892,1275,668,656,524
Radford city ,51750,180,123,97,148,114,113,84,90,226,168,155,172
Richmond city ,51760,1701,1546,1788,1827,1235,773,884,781,1003,582,508,463
Roanoke city ,51770,1022,1155,1047,1338,1347,1419,1149,1438,2110,1527,1972,1643
Salem city ,51775,8,7,9,10,-,1,2,0,3,13,10,1
Staunton city ,51790,285,301,319,282,271,300,224,81,198,249,177,217
Suffolk city ,51800,217,333,314,242,236,269,285,322,429,587,441,516
Virginia Beach city ,51810,1898,1436,1508,1608,1544,1401,1170,1123,1713,1226,1113,1199
Waynesboro city ,51820,268,351,313,363,194,257,196,90,224,236,180,229
Williamsburg city ,51830,59,49,32,35,32,11,13,26,36,20,31,22
Winchester city ,51840,153,244,247,279,266,377,385,429,907,603,449,496
