County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Dinwiddie County ,51053,41,6,74,13,50,3,126,12,72,15,136,17,62,13,84,7,44,20,95,21,57,11,74,6,25,2,50,14,58,3,118,19,90,12,190,13,72,11,148,19,50,10,125,11,46,16,113,12
Essex County ,51057,23,1,27,15,26,0,42,7,22,4,88,2,35,27,48,9,15,11,33,0,10,5,38,6,29,11,100,9,32,11,43,4,28,19,92,8,33,36,85,5,36,39,113,9,26,15,107,6
Fairfax County ,51059,1366,635,1650,327,1317,689,1550,296,1334,766,1657,304,988,735,1405,218,976,695,1290,218,1064,717,1654,195,930,601,1533,187,825,517,1059,159,1432,574,1677,247,1046,551,1387,243,1059,388,1335,190,777,376,1442,212
Fauquier County ,51061,99,16,238,25,105,8,247,37,78,5,225,28,81,18,189,22,74,16,216,24,83,15,205,9,105,11,204,10,91,18,235,18,141,16,269,19,82,33,187,16,74,28,147,11,84,14,111,21
Floyd County ,51063,19,1,87,18,44,2,93,8,41,8,84,10,37,8,83,8,31,9,99,24,41,10,97,7,38,19,125,5,56,13,142,6,82,13,178,23,44,18,145,7,27,21,145,12,17,9,146,8
Fluvanna County ,51065,36,4,56,22,40,13,85,14,29,13,102,5,40,3,94,13,55,4,81,20,46,4,142,11,57,66,126,19,44,85,127,12,51,84,171,19,31,25,110,12,34,46,84,14,35,59,76,13
Franklin County ,51067,142,6,615,43,153,20,564,43,172,85,603,47,188,48,622,46,149,139,549,32,172,116,588,30,170,99,600,39,196,121,686,69,26,196,850,3,149,145,609,26,186,117,677,37,187,174,757,45
Frederick County ,51069,189,18,485,52,205,42,503,50,240,46,512,60,263,54,622,48,198,66,520,51,199,81,448,45,200,105,521,38,192,98,539,51,354,191,853,49,236,147,642,33,223,88,576,37,202,118,603,52
Giles County ,51071,120,47,332,27,123,34,405,27,120,53,358,52,79,22,414,21,107,17,381,26,80,28,267,23,92,21,321,21,78,19,308,18,132,42,527,24,110,42,262,20,52,10,257,20,67,18,285,12
Gloucester County ,51073,95,22,278,26,72,18,211,26,87,21,223,12,60,13,212,12,70,11,172,24,99,34,211,18,80,61,180,15,145,56,206,14,138,52,278,21,107,20,190,17,134,14,168,24,71,11,134,18
Goochland County ,51075,13,1,27,3,18,0,30,6,17,9,42,9,22,6,34,11,19,9,36,8,27,6,47,5,12,1,34,4,35,15,57,5,52,23,70,8,31,14,45,6,15,1,17,8,23,9,23,3
Grayson County ,51077,42,26,235,10,44,10,219,13,47,7,228,14,36,6,205,6,35,-,-,9,27,8,154,6,26,10,238,7,43,1,164,9,58,8,219,12,25,14,141,-,22,8,169,10,27,7,260,12
Greene County ,51079,20,0,11,5,18,1,24,4,21,4,11,11,22,2,11,3,28,1,16,7,31,0,26,5,23,4,86,3,19,8,67,8,48,23,89,9,56,16,74,14,22,20,60,8,68,64,127,14
Greensville County ,51081,29,7,75,11,29,3,58,6,46,-,129,10,38,7,112,11,47,13,126,9,41,4,116,19,49,13,112,11,26,8,67,9,53,9,97,7,32,15,75,15,38,9,95,3,28,2,69,4
Halifax County ,51083,123,15,290,44,126,21,320,48,104,63,281,44,143,77,427,41,105,61,314,21,87,60,275,28,102,65,336,17,136,66,437,25,128,61,436,16,79,44,234,8,99,41,220,10,68,57,188,10
Hanover County ,51085,122,16,183,44,107,17,120,20,131,27,175,17,89,17,149,15,115,12,183,25,94,11,185,37,87,20,150,19,103,22,124,17,174,24,160,17,149,40,248,26,135,61,231,35,187,87,231,49
