County,FIPS_Code,2010_Physical,2010_Emotional,2010_Neglect,2010_Sexual,2011_Physical,2011_Emotional,2011_Neglect,2011_Sexual,2012_Physical,2012_Emotional,2012_Neglect,2012_Sexual,2013_Physical,2013_Emotional,2013_Neglect,2013_Sexual,2014_Physical,2014_Emotional,2014_Neglect,2014_Sexual,2015_Physical,2015_Emotional,2015_Neglect,2015_Sexual,2016_Physical,2016_Emotional,2016_Neglect,2016_Sexual,2017_Physical,2017_Emotional,2017_Neglect,2017_Sexual,2018_Physical,2018_Emotional,2018_Neglect,2018_Sexual,2019_Physical,2019_Emotional,2019_Neglect,2019_Sexual,2020_Physical,2020_Emotional,2020_Neglect,2020_Sexual,2021_Physical,2021_Emotional,2021_Neglect,2021_Sexual
Lynchburg city ,51680,261,30,696,55,302,13,786,58,268,6,713,63,298,6,883,47,277,27,932,31,226,4,807,44,217,7,795,60,183,18,939,38,322,37,1347,40,295,26,1120,33,185,12,716,35,226,38,953,51
Manassas city ,51683,95,8,160,28,97,2,216,19,94,13,114,20,73,3,134,33,69,5,121,21,65,4,96,18,35,2,75,22,52,4,62,14,79,6,115,23,33,3,114,29,41,4,74,15,24,1,58,17
Manassas Park city ,51685,32,-,19,9,37,1,33,9,59,3,45,11,51,2,52,7,48,2,78,12,33,2,44,8,64,3,43,10,61,8,37,7,85,4,55,16,52,7,41,8,42,6,58,13,45,1,48,8
Martinsville city ,51690,5,1,18,0,1,-,-,-,3,-,23,3,17,4,100,6,31,0,93,2,24,5,93,3,5,6,2,-,12,4,12,1,18,8,17,1,1,2,0,0,28,77,111,6,17,85,105,6
Newport News city ,51700,432,50,852,109,435,65,687,72,430,16,782,66,428,22,775,69,433,43,903,60,389,56,884,87,438,41,1256,60,421,59,1456,65,653,71,1911,91,500,92,1583,104,355,42,1289,75,294,56,1158,79
Norfolk city ,51710,624,3,947,108,490,5,1040,107,522,7,849,114,482,4,842,97,497,10,781,77,576,3,843,80,606,7,975,107,952,1,"1,101",78,1186,7,"1,295",91,803,8,1019,97,686,3,964,57,648,1,784,82
Norton city ,51720,6,5,40,3,8,10,96,12,15,7,94,3,12,10,79,2,12,2,o,3,31,4,139,5,25,6,141,9,16,6,106,9,28,12,185,5,33,20,132,1,25,12,107,3,18,11,84,8
Petersburg city ,51730,65,4,189,18,113,7,181,16,109,15,247,17,105,7,354,20,98,12,294,35,82,10,349,14,109,7,262,22,48,2,111,15,107,3,302,13,79,12,227,12,60,13,100,17,61,2,92,24
Poquoson city ,51735,7,0,2,0,0,1,2,0,-,-,4,-,-,-,7,-,9,-,11,3,1,2,8,-,7,6,6,1,3,3,9,-,3,2,2,-,-,-,1,-,-,-,-,-,-,-,-,-
Portsmouth city ,51740,500,159,997,84,472,107,1051,79,414,90,804,72,476,147,1225,63,505,116,1133,63,388,83,1133,69,304,45,759,59,377,78,892,60,562,132,1275,82,322,88,668,58,254,60,656,28,188,73,524,33
Radford city ,51750,28,1,180,5,26,2,123,12,18,1,97,4,53,17,148,12,38,27,114,14,35,17,113,6,35,19,84,7,43,5,90,9,88,4,226,12,70,15,168,28,50,12,155,6,70,13,172,10
Richmond city ,51760,649,188,1701,123,694,185,1546,97,705,193,1788,138,688,181,1827,141,506,52,1235,103,401,25,773,119,351,15,884,110,327,17,781,105,489,16,1003,124,267,10,582,80,250,7,508,53,163,9,463,58
Roanoke city ,51770,348,7,1022,77,386,14,1155,68,492,51,1047,84,452,57,1338,71,349,33,1347,62,325,22,1419,64,275,19,1149,52,356,26,1438,66,546,30,2110,90,366,27,1527,81,456,26,1972,94,362,86,1643,73
Salem city ,51775,4,-,8,2,7,1,7,1,2,1,9,-,0,-,10,-,-,-,-,-,1,-,1,0,-,-,2,-,0,-,0,-,-,-,3,0,2,-,13,-,2,-,10,-,-,-,1,-
Staunton city ,51790,61,3,285,24,69,2,301,30,93,6,319,41,107,2,282,25,82,5,271,20,140,2,300,22,79,7,224,24,26,1,81,6,48,2,198,21,60,1,249,24,30,3,177,14,94,1,217,12
Suffolk city ,51800,126,16,217,25,198,71,333,54,173,10,314,19,134,23,242,24,166,8,236,26,173,10,269,28,187,19,285,19,173,16,322,37,285,44,429,28,229,37,587,41,200,16,441,31,185,40,516,26
Virginia Beach city ,51810,932,49,1898,204,803,28,1436,163,861,35,1508,173,866,37,1608,163,757,40,1544,168,704,38,1401,92,670,15,1170,106,770,10,1123,93,1098,32,1713,162,720,16,1226,97,735,29,1113,100,666,199,1199,131
Waynesboro city ,51820,69,1,268,17,76,1,351,21,94,3,313,19,104,1,363,35,90,1,194,16,104,3,257,17,85,3,196,10,25,10,90,1,64,3,224,15,70,8,236,21,54,20,180,13,59,5,229,11
Williamsburg city ,51830,28,13,59,5,25,10,49,6,10,12,32,4,14,18,35,2,21,10,32,5,11,12,11,2,11,11,13,4,10,14,26,5,21,19,36,4,11,11,20,3,15,6,31,2,15,33,22,2
Winchester city ,51840,68,9,153,31,152,12,244,37,180,23,247,17,149,16,279,39,164,26,266,37,181,37,377,35,175,33,385,18,219,53,429,13,391,105,907,34,222,74,603,34,197,50,449,30,154,53,496,37
